Fish,UqRep,Treatment,Family,TestingT,Date,Time,W,SL,Sex,StartT,CTM,Video,Stimdist,Stimdirect,StimdirectR,LatencyMS,Response,DuratMS,Dist,VeloMS,MaxVeloMS,EndDirect,EndDirectR
G3d11,G:3d:1,3d,G,28.5,30.03.17,13:50:00,2.059,38.8,F,,,331,92.978,95.961,1.674835162,650,Cstart,22.91740445,25.756,1.123862,2.077816,61.528,1.073866027
G30d2a,G:30d:2,30d,G,30.5,30.03.17,16:45:00,1.392,33,F,,,332,88.662,266.464,4.650673467,20.83333333,Cstart,10.41760065,13.896,1.3338964,1.953446,216.87,3.785095002
G7d21,G:7d:2,7d,G,28.5,30.03.17,17:00:00,1.526,34.72,F,,,333,52.125,110.45,1.927715881,127.0833333,Cstart,12.50150573,12.108,0.968523333,1.452785,95.377,1.66464244
G3d21,G:3d:2,3d,G,28.5,30.03.17,17:40:00,2.123,37.2,M,,,335,77.102,61.636,1.075750982,18.75,Cstart,18.75060184,27.975,1.491952111,2.054548,351.674,6.137868307
GC1a,G:C:1,C,G,30.5,31.03.17,10:20:00,1.906,35.4,F,,,337,104.594,303.085,5.2898304,14.58333333,Cstart,20.83417674,33.76,1.6204144,1.965892,265.914,4.641074157
G7d11,G:7d:1,7d,G,28.5,31.03.17,12:05:00,2.039,37.32,M,,,340,107.515,86.561,1.510774236,18.75,Cstart,20.83479538,32.776,1.5731376,2.054548,352.147,6.146123714
G7d2a,G:7d:2,7d,G,30.5,31.03.17,12:40:00,1.406,32.16,F,,,341,97.626,316.309,5.520632707,14.58333333,Cstart,10.41690433,12.784,1.227236,1.965892,265.818,4.639398641
GH31,G:H:3,H,G,28.5,31.03.17,13:15:00,1.456,32.5,F,,,342,99.869,61.049,1.065505901,14.58333333,Cstart,18.74963878,23.25,1.240023889,2.016105,77.648,1.355213062
G7d3a,G:7d:3,7d,G,30.5,31.03.17,16:05:00,2.807,41.7,M,,,344,80.56,15.499,0.270508542,14.58333333,Cstart,12.49978764,19.621,1.569706667,2.076545,284.534,4.966054417
G3d31,G:3d:3,3d,G,28.5,31.03.17,16:20:00,1.623,34,M,,,345,80.457,25.533,0.445634854,14.58333333,Cstart,12.50001646,22.149,1.771917667,3.285316,339.444,5.924414571
GH3a,G:H:3,H,G,30.5,31.03.17,16:40:00,1.81,34.28,F,,,346,124.77,280.901,4.902646614,18.75,Cstart,12.4992474,14.705,1.176470833,1.411765,240.709,4.201163983
GH2a,G:H:2,H,G,30.5,01.04.17,9:05:00,1.708,34.18,F,,,348,96.91,357.368,6.237247341,16.66666667,Cstart,14.58294733,21.723,1.489616571,2.03606,279.208,4.873098194
G30d11,G:30d:1,30d,G,28.5,01.04.17,9:40:00,1.675,35.1,F,,,349,75.141,344.291,6.009010667,14.58333333,Cstart,14.58279458,22.5,1.542914143,3.156802,271.975,4.746858548
GC32,G:C:3,C,G,28.5,01.04.17,14:10:00,1.73,35,F,,,350,103.767,64.622,1.127866506,16.66666667,Cstart,10.41648789,13.11,1.2585816,2.016105,91.755,1.601426624
G7d1a,G:7d:1,7d,G,30.5,01.04.17,14:30:00,2.163,37.54,F,,,352,100.922,81.216,1.417486401,6.25,Other,,,,,,
GH21,G:H:2,H,G,28.5,01.04.17,14:50:00,1.993,36,M,,,353,98.101,90.298,1.57599718,16.66666667,Cstart,14.58172085,18.915,1.297172,2.057038,117.072,2.043291567
GH22,G:H:2,H,G,28.5,02.04.17,8:55:00,1.996,36.26,F,,,355,124.579,315.442,5.505500704,37.5,Cstart,31.24889462,42.758,1.3683044,2.96846,54.673,0.954223724
G30d2b,G:30d:2,30d,G,30.5,02.04.17,11:30:00,1.531,34,F,,,356,105.241,17.283,0.301645211,20.83333333,Cstart,20.83128012,22.236,1.0674332,2.03606,74,1.29154346
GC33,G:C:3,C,G,28.5,02.04.17,11:00:00,2.242,38.4,M,,,356,133.247,98.494,1.719044345,16.66666667,Cstart,12.49966913,14.482,1.158590667,2.03606,82.589,1.441449768
G3d12,G:3d:1,3d,G,28.5,02.04.17,12:10:00,2.146,36.28,M,,,358,75.307,60.544,1.05669199,14.58333333,Cstart,29.16710808,35.654,1.222404357,3.066608,114.331,1.995452099
GC2a,G:C:2,C,G,30.5,02.04.17,12:20:00,1.747,34.6,F,,,359,91.194,104.432,1.822681981,468.75,Cstart,29.16914672,12.276,0.420855643,1.963993,79.114,1.380799585
G7d32,G:7d:3,7d,G,28.5,02.04.17,12:40:00,2.271,37.82,M,,,360,92.812,95.008,1.658202176,14.58333333,Cstart,10.41644592,13.075,1.2552266,2.01073,132.323,2.309471693
GH1b,G:H:1,H,G,30.5,02.04.17,12:55:00,2.36,37.26,M,,,361,94.141,14.897,0.260001661,10.41666667,Cstart,16.66843197,27.717,1.662843875,2.878561,343.124,5.988642678
GC22,G:C:2,C,G,28.5,02.04.17,15:55:00,1.786,35.1,M,,,362,105.946,79.787,1.392545649,16.66666667,Cstart,24.9979666,43.156,1.726380417,2.909091,210.964,3.682015872
GH23,G:H:2,H,G,28.5,02.04.17,16:40:00,2.142,37.46,M,,,363,85.873,46.193,0.806219825,12.5,Cstart,24.99928416,39.216,1.568684917,2.880288,190.437,3.323752188
GC3b,G:C:3,C,G,30.5,02.04.17,17:30:00,2.055,37,M,,,364,89.406,328.874,5.739933295,18.75,Cstart,22.91486764,33.064,1.442906,1.996537,0.64,0.011170106
GC3c,G:C:3,C,G,30.5,03.04.17,9:50:00,1.991,37.06,F,,,365,85.63,281.31,4.90978501,20.83333333,Cstart,60.42369126,54.585,0.903370828,2.642444,93.879,1.638497412
G7d1b,G:7d:1,7d,G,30.5,03.04.17,10:20:00,1.93,36.9,F,,,366,90.802,65.331,1.140240889,10.41666667,Cstart,12.50105113,17.666,1.413161167,1.920833,82.31,1.4365803
G7d1c,G:7d:1,7d,G,30.5,03.04.17,11:35:00,1.66,35.12,M,,,367,92.345,4.764,0.083147474,18.75,Cstart,16.66531928,19.326,1.15965375,1.921377,89.05,1.554215475
GC34,G:C:3,C,G,28.5,03.04.17,11:55:00,1.868,36.76,M,,,368,85.426,320.711,5.597462089,14.58333333,Cstart,16.66518988,28.4,1.704151,1.996537,301.592,5.263772638
GC1b,G:C:1,C,G,30.5,03.04.17,14:20:00,2.186,39.16,F,,,369,106.182,221.76,3.87044159,27.08333333,Cstart,22.91725788,14.698,0.641350727,1.903063,165.694,2.891905433
G30d21,G:30d:2,30d,G,28.5,04.04.17,8:10:00,1.935,36.66,F,,,370,72.746,110.788,1.933615093,8.333333333,Cstart,22.91518855,33.719,1.471469455,2.03606,142.237,2.48250361
G3d14,G:3d:1,3d,G,28.5,04.04.17,8:40:00,1.811,35.7,F,,,371,85.054,241.991,4.2235391,322.9166667,Other,,,,,,
GH1c,G:H:1,H,G,30.5,04.04.17,9:25:00,1.766,35.66,M,,,373,116.723,295.346,5.154759388,22.91666667,Cstart,18.75031303,33.943,1.810263111,3.690888,248.839,4.34305923
G30d22,G:30d:2,30d,G,28.5,04.04.17,9:35:00,2.338,38.82,F,,,374,86.203,35.362,0.617183241,16.66666667,Cstart,20.83207899,26.469,1.2705885,1.411765,122.471,2.13752188
G30d1b,G:30d:1,30d,G,30.5,04.04.17,10:20:00,2.012,35.68,F,,,376,91.783,257.905,4.501290757,29.16666667,Cstart,16.66701488,16.653,0.999159125,1.939493,189.246,3.302965319
GC23,G:C:2,C,G,28.5,04.04.17,11:25:00,2.447,38,F,,,377,78.026,12.074,0.210731023,14.58333333,Cstart,22.91620051,25.911,1.130684818,2.691337,109.705,1.914713179
GH2b,G:H:2,H,G,30.5,04.04.17,12:15:00,1.711,35,F,,,378,68.427,358.21,6.251943011,272.9166667,Other,,,,,,
G30d33,G:30d:3,30d,G,28.5,05.04.17,14:50:00,1.615,34.92,F,,,379,101.83,313.781,5.476510789,14.58333333,Cstart,12.50044549,13.796,1.103640667,1.939493,266.332,4.648369632
GC12,G:C:1,C,G,28.5,05.04.17,15:30:00,1.886,36.44,F,,,380,105.408,99.358,1.734123988,10.41666667,Other,,,,,,
G7d23,G:7d:2,7d,G,28.5,05.04.17,16:50:00,1.972,39,F,,,381,84.228,51.499,0.898826982,14.58333333,Cstart,22.91444321,31.497,1.374547909,3.009007,281.689,4.916399807
G7d13,G:7d:1,7d,G,28.5,05.04.17,17:05:00,1.679,35.4,M,,,382,51.586,319.696,5.579747,25,Cstart,12.49875012,12,0.960096,1.440144,302.859,5.285885956
G30d34,G:30d:3,30d,G,28.5,05.04.17,17:40:00,1.825,35.1,M,,,383,107.231,316.085,5.51672317,233.3333333,Other,,,,,,
G30d14,G:30d:1,30d,G,28.5,05.04.17,17:50:00,2.546,38.32,F,,,384,66.224,310.379,5.417134697,10.41666667,Cstart,22.9183316,37.281,1.626689091,2.954343,192.339,3.356948345
G7d14,G:7d:1,7d,G,28.5,05.04.17,18:00:00,2.645,39.88,M,,,385,102.48,301.809,5.267560002,14.58333333,Cstart,22.91493095,25.964,1.133060364,1.996537,190.176,3.319196879
G30d3d,G:30d:3,30d,G,30.5,06.04.17,10:45:00,1.915,36.38,F,,,386,100.529,82.648,1.442479512,22.91666667,Cstart,14.58520364,23.866,1.636315857,2.184817,123.891,2.162305551
GH3c,G:H:3,H,G,30.5,06.04.17,11:00:00,2.164,37.3,M,,,387,84.242,2.546,0.044436076,29.16666667,Cstart,18.7493205,24.144,1.287726667,1.93159,63.435,1.107149451
G30d1c,G:30d:1,30d,G,30.5,06.04.17,11:15:00,1.656,32.66,M,,,388,103.81,120.603,2.104919134,95.83333333,Cstart,16.66636731,18.326,1.09957975,1.939493,160.181,2.795685445
GH2c,G:H:2,H,G,30.5,06.04.17,11:45:00,1.162,31,F,,,389,112.154,130.135,2.271283894,164.5833333,Cstart,33.3324293,21.739,0.652187688,1.885094,209.624,3.658628463
GH3d,G:H:3,H,G,30.5,06.04.17,11:50:00,1.763,34.7,F,,,390,95.029,276.582,4.827265855,12.5,Cstart,14.58209248,12.731,0.873057143,1.957954,205.866,3.593038999
G30d23,G:30d:2,30d,G,28.5,06.04.17,14:45:00,2.028,37.52,F,,,391,98.979,64.87,1.132194922,22.91666667,Cstart,29.16626007,48.271,1.655028786,4.42019,172.999,3.019401717
G3d23,G:3d:2,3d,G,28.5,06.04.17,15:05:00,2.346,39.1,F,,,392,99.45,305.362,5.329571541,60.41666667,Other,,,,,,
G3d33,G:3d:3,3d,G,28.5,06.04.17,15:55:00,2.442,38.76,F,,,393,103.244,121.057,2.112842928,14.58333333,Cstart,12.49866349,15.177,1.214289833,1.903063,67.249,1.173716299
G7d24,G:7d:2,7d,G,28.5,06.04.17,16:15:00,2.098,39.7,F,,,395,115.498,284.767,4.970121033,14.58333333,Cstart,10.41648789,13.11,1.2585816,2.016105,260.238,4.542009283
G7d33,G:7d:3,7d,G,28.5,06.04.17,16:30:00,1.773,34.3,F,,,396,100.131,324.866,5.669980509,187.5,Other,,,,,,
G3d1b,G:3d:1,3d,G,30.5,06.04.17,16:40:00,1.469,32.36,M,,,397,81.72,282.707,4.934167256,191.6666667,Cstart,8.334351813,8.49,1.0186755,1.358234,241.343,4.212229368
G7d2c,G:7d:2,7d,G,30.5,06.04.17,17:10:00,1.662,36,M,,,398,116.738,117.631,2.053047956,372.9166667,Other,,,,,,
G7d2d,G:7d:2,7d,G,30.5,06.04.17,17:20:00,2.215,37.46,F,,,399,92.805,86.721,1.513566762,16.66666667,Cstart,10.41498757,8.49,0.8151714,1.358619,41.918,0.73160701
G3d3b,G:3d:3,3d,G,30.5,06.04.17,17:50:00,1.749,35.7,M,,,400,98.064,308.498,5.384305058,16.66666667,Cstart,27.08147393,33.62,1.241439077,1.957954,180.282,3.146514028
G3d3c,G:3d:3,3d,G,30.5,06.04.17,17:55:00,1.576,33.9,M,,,401,72.875,341.862,5.966616626,281.25,Other,,,,,,
G3d3d,G:3d:3,3d,G,30.5,06.04.17,18:00:00,1.526,34.78,M,,,402,93.277,7.964,0.138998002,22.91666667,Cstart,22.91436387,27.551,1.202346273,1.903063,82.235,1.435271303
GC1c,G:C:1,C,G,30.5,06.04.17,18:20:00,2.253,37,F,,,403,91.753,51.565,0.899978899,25,Cstart,10.41651983,12.858,1.2343854,1.977345,117.646,2.053309755
GC2b,G:C:2,C,G,30.5,06.04.17,19:00:00,2.32,39,F,,,405,81.047,254.597,4.443555274,22.91666667,Cstart,31.24943677,40.109,1.283511133,3.009007,130.45,2.276781681
GC2c,G:C:2,C,G,30.5,06.04.17,19:05:00,2.452,39,F,,,406,54.162,287.913,5.025029084,112.5,Other,,,,,,
G7d3e,G:7d:3,7d,G,30.5,06.04.17,19:30:00,2.029,35.78,M,,,407,119.555,92.301,1.61095612,18.75,Cstart,10.41669674,22.367,2.1472258,2.742857,114.228,1.99365441
GC14,G:C:1,C,G,28.5,06.04.17,19:55:00,2.776,40.7,M,,,409,100.237,38.954,0.679875459,152.0833333,Other,,,,,,
GH34,G:H:3,H,G,28.5,06.04.17,20:00:00,1.779,37,M,,,410,64.392,3.814,0.066566848,516.6666667,Other,,,,,,
HC31,H:C:3,C,H,28.5,09.04.17,9:35:00,1.637,35.5,M,,,411,65.012,220.601,3.850213227,12.5,Cstart,18.75092799,22.479,1.198820667,1.851166,184.236,3.215524336
H3d11,H:3d:1,3d,H,28.5,09.04.17,14:45:00,1.992,36.34,F,,,412,70.945,308.426,5.383048422,252.0833333,Cstart,41.6649637,43.886,1.05330705,1.976769,213.509,3.726434495
H30d3a,H:30d:3,30d,H,30.5,09.04.17,15:50:00,1.848,35.2,M,,,413,107.215,95.711,1.670471839,14.58333333,Cstart,24.99808583,31.234,1.249455667,2.879424,210.735,3.678019068
H7d2a,H:7d:2,7d,H,30.5,09.04.17,16:45:00,1.382,33.14,M,,,415,91.564,338.385,5.905931537,22.91666667,Cstart,18.74966323,18.326,0.977404222,1.939493,70.463,1.229811173
H7d31,H:7d:3,7d,H,28.5,09.04.17,17:40:00,1.304,33.14,F,,,416,107.579,97.237,1.69710556,16.66666667,Cstart,16.66584438,25.208,1.512554625,1.976769,84.958,1.482796612
HH3a,H:H:3,H,H,30.5,10.04.17,10:30:00,1.208,31,M,,,417,96.129,28.443,0.496423927,181.25,Other,,,,,,
HH2a,H:H:2,H,H,30.5,10.04.17,10:40:00,1.302,31,M,,,418,117.439,41.138,0.717993444,14.58333333,Cstart,12.49999123,11.88,0.950400667,1.425601,17.133,0.299027218
H7d11,H:7d:1,7d,H,28.5,10.04.17,13:00:00,1.447,33.16,F,,,421,105.441,287.19,5.012410355,16.66666667,Cstart,22.9194173,29.337,1.280006364,1.86849,183.394,3.200828666
H3d21,H:3d:2,3d,H,28.5,10.04.17,13:20:00,2.494,39.62,F,,,422,128.834,252.255,4.402679669,22.91666667,Cstart,45.83383126,27.423,0.5983135,1.977345,196.26,3.425382695
H30d21,H:30d:2,30d,H,28.5,10.04.17,14:40:00,2.197,37,F,,,423,120.552,183.731,3.206710425,187.5,Cstart,41.66377269,43.61,1.0467127,1.996537,70.253,1.226145982
H7d12,H:7d:1,7d,H,28.5,10.04.17,15:50:00,1.919,35.9,M,,,424,120.249,17.671,0.308417088,14.58333333,Cstart,18.7488711,23.528,1.254902222,1.411765,302.471,5.27911408
HC22,H:C:2,C,H,28.5,10.04.17,15:05:00,1.509,35.9,M,,,425,101.107,267.709,4.672402813,18.75,Cstart,22.91602958,29.376,1.281897455,3.009007,181.909,3.174910531
HC3a,H:C:3,C,H,30.5,10.04.17,17:00:00,1.857,35,F,,,426,110.367,21.966,0.383378968,25,Cstart,22.91651436,34.168,1.490977182,2.981424,83.674,1.460386587
HC1b,H:C:1,C,H,30.5,11.04.17,10:00:00,2.139,36.26,M,,,427,99.349,37.875,0.661043359,18.75,Cstart,14.58381312,14.565,0.99871,1.398194,81.973,1.430698541
HC3b,H:C:3,C,H,30.5,11.04.17,10:15:00,1.424,32.7,F,,,428,96.054,49.316,0.86072645,18.75,Cstart,16.66460026,20.783,1.247134625,1.903063,115.201,2.010636461
H7d2b,H:7d:2,7d,H,30.5,11.04.17,10:25:00,1.711,34.24,F,,,429,96.188,21.161,0.36932907,22.91666667,Cstart,22.916224,26.208,1.143643909,1.397787,117.897,2.057690531
HH23,H:H:2,H,H,28.5,11.04.17,12:20:00,1.768,35.3,F,,,431,81.52,244.431,4.266125128,33.33333333,Cstart,10.41700937,11.652,1.1185552,1.398194,228.576,3.989403215
HC12,H:C:1,C,H,28.5,11.04.17,13:30:00,1.391,32.76,F,,,432,85.71,350.311,6.114079473,14.58333333,Cstart,18.75067012,20.694,1.103640556,2.742857,241.887,4.221723958
H7d22,H:7d:2,7d,H,28.5,11.04.17,13:50:00,3.258,38.64,M,,,433,89.707,291.289,5.083951391,12.5,Cstart,31.24738328,34.282,1.097115867,1.996537,187.382,3.270432387
HH3c,H:H:3,H,H,30.5,11.04.17,16:10:00,1.142,31.9,F,,,434,103.866,3.013,0.052586763,16.66666667,Cstart,16.66619469,20.304,1.2182745,1.903063,301.898,5.269113344
H30d23,H:30d:2,30d,H,28.5,12.04.17,8:45:00,1.691,35,M,,,435,89.771,76.211,1.330132684,14.58333333,Cstart,27.08108665,44.323,1.636677308,1.996537,227.936,3.978233109
H3d13,H:3d:1,3d,H,28.5,12.04.17,9:00:00,1.677,35.4,M,,,436,93.706,48.618,0.848544053,14.58333333,Cstart,16.66667716,26.48,1.588799,2.879424,14.125,0.246527721
H7d2d,H:7d:2,7d,H,30.5,12.04.17,10:00:00,1.26,32.4,F,,,437,115.156,356.906,6.229183921,287.5,Other,,,,,,
HC2c,H:C:2,C,H,30.5,12.04.17,10:10:00,2.03,37.5,M,,,438,98.53,123.69,2.15879744,14.58333333,Cstart,14.58252558,24.936,1.709991857,3.156802,134.366,2.345128764
HC1c,H:C:1,C,H,30.5,13.04.17,12:10:00,1.945,35.34,F,,,439,85.518,274.139,4.784627467,22.91666667,Cstart,12.49972429,20.118,1.6094755,1.885618,259.216,4.524172021
HH13,H:H:1,H,H,28.5,13.04.17,16:05:00,1.523,33,F,,,441,101.131,329.864,5.757212053,18.75,Cstart,12.4997252,20.28,1.622435667,2.016105,267.51,4.668929608
H30d32,H:30d:3,30d,H,28.5,13.04.17,16:20:00,1.68,34.8,M,,,442,103.02,332.023,5.794893706,18.75,Cstart,10.41613098,17.986,1.7267448,3.095796,282.995,4.939193804
H3d14,H:3d:1,3d,H,28.5,13.04.17,16:55:00,2.052,37.3,M,,,443,99.076,314.766,5.49370228,20.83333333,Cstart,16.6645968,20.983,1.259136375,1.921377,256.329,4.473784372
HC33,H:C:3,C,H,28.5,13.04.17,17:40:00,1.968,35.48,M,,,445,123.721,1.584,0.027646011,31.25,Cstart,16.66513858,23.993,1.439712,2.879424,77.03,1.344426929
H3d15,H:3d:1,3d,H,28.5,13.04.17,18:00:00,1.66,34,M,,,446,96.915,73.887,1.289571238,16.66666667,Cstart,27.08401614,23.551,0.869553462,1.939493,209.055,3.648697541
H30d12,H:30d:1,30d,H,28.5,13.04.17,18:10:00,1.982,36.9,M,,,447,89.259,354.289,6.183508661,52.08333333,Other,,,,,,
